,Model,Overall_rating,Date,Review,Style,Comfort,Fuel_Economy,Performance,Value_for_Money
277,2017 Suzuki Cultus VXL,2," Oct 07, 2020","
Pros: Fuel economy. 20km/l on highway and 18km/l in city. (Note. Display panel always give you 1~2km higher readings because it calculate from instant average)Cons: No comfort. You can't drive it continuously for more than 2 hours.  Poor SuspensionSound come from unknown body pieces. Interior Plastic is very cheap. It produces irritating sounds on bumpy road. Body material is also very low quality.  Dent in the fender due to a tape ball throw.
",2,1,5,1,2
278,2016 Suzuki Hustler,4," Oct 01, 2020","

Suzuki Huslter Is Queen of 660 cc class of cars in Pakistan.An efficient engine Great ground clearence even fully occupied with 4,5Passangers with luggage, will not touch on bumps.style 100%comfortable 80%Fuel average 90%Parts are easily available and not so expensive.Extra leg room and sliding sofa seats are great comfort.It has lot of luggage space if you fold rear seats.It has space for Donut spare wheel(Japani stapni) under back seats.Its has great view for passengers and driver as compared to other cars.Its design is blend of jeep, FJ Cruise, Nissan Patrol
 

                More
                
 
                Less
                
 
",5,4,4,5,5
279,2015 Suzuki Cultus EURO II,4," Sep 25, 2020","
The exterior of this car is a little bit sporty and exective as well. The interior is single tone, except  inner door pannels. The seats are comfortable. Suspension has good response. A/C performance is outclass being a 1000CC Suzuki Car. The drive of the car is not felt to be an underpowered car, even when the car is with load i.e. when the A/C is on and 4 persons sitting in the car. Fuel average is also not good not bad in city with A/C while it becomes excellent on long routes 
",4,4,3,4,5
280,2018 Suzuki Wagon R VXL,2," Sep 25, 2020","
performance and fuel economy is good but not safe at high speed. body is so fragile and no safety feature. leg and head space is good but not for 5 healthy adults. exterior is bulky. turning radius ips good. a/c is good but fails after 4-5 years. alloy instaaled by company are so entry level. head unit is good but Bluetooth connection is difficult.
",2,2,4,4,2
281,2006 Suzuki Mehran VXR (CNG),3," Sep 23, 2020","
i have a suzuki mehran 2006 model and it runs perfectly well even though after 14 years of running thus car is still running its acceleration is quite impressive if you press the accelerator a little harder it is also very cheap to maintain as its parts are easily avalible but because it is very old its fuel consumption has increased it only makes 9 to 10 km a litre but still its a grrat buy
",2,3,2,4,4
282,2019 Suzuki Alto,4," Sep 14, 2020","
Very  nice car, for the first time Alto has exceeded expectation.Reasonable AC, and best fuel economy, very good leg room but seats are not comfortable, drive and response is eager, brakes are better, good option for general commute within the radius of 20-30 kms per day.
",3,3,5,4,5
283,2020 Suzuki Alto VXL AGS,4," Sep 06, 2020","
Car is perfect for daily frequent use. It has very comfortable ride, surprisingly spacious leg room, comfortable seats, nice AC. Fuel economy is also very impressive. Steering is also very smooth. AGS is bit tricky but one can be used to it after driving few hundred KM. Exterior is also good except rare lights position. lacks spare tyre which can be a concern
",4,5,5,5,4
284,2012 Suzuki Swift DLX 1.3,4," Sep 05, 2020","

Suzuki Swift has very good interior but has total interior in plastic but we cannot expect any more from suzuki in Pakistan.Suzuki Swift Exterior is not much slim but looks like a flat car. It does not look any type of sporty car. From outside the car looks like it has a 660cc engine.In Interior, It does not have very much leg space and front room looks very bulky because of 1300cc engine.As far as the back room is concerned if the front seats are at medium position then their will be an sufficient space for people sitting in the back.The trunk is not too much spacious but it has reclining seats so if you want to load something you can easily recline the seats.I think that anyone should not buy applied for suzuki swift because of their price. You can get a very better used sedan in that price range. Buying Suzuki Swift for your daily driver is recommended but not on long drive.Thankyou.
 

                More
                
 
                Less
                
 
",4,4,3,5,5
285,2018 Suzuki Vitara GL+ 1.6,4," Sep 01, 2020","
The car is worth the money. The best SUV that Pakistan has as compared to the other SUVs[KIA]. It has been almost 2 years that i have been using this car. its furl average is good. I was not expecting that this SUV will be good because of the band. the most important thing is that the car is imported  and the built quality is good. The car do not cost that much maintenance . Being an SUV the comfort is good for the front seats but  the back leg space is less. 
",5,4,5,5,5
286,2018 Suzuki Mehran VXR Euro II,3," Aug 31, 2020","
If we talk about the suzuki mehran, i say that this car best car for the city and also it is competitive in this category if we maintain the car then it will work very well. The exterior of the is quite good looking. But the quality of the plastic in the interior is not because i think their could be more better plastic quality. The speakers in the car work really well. In the end i say that in this category we should buy a mehran or a suzuki alto 2020. These category cars are easy to maintain
",4,3,3,4,4
287,2005 Suzuki Cultus VXR (CNG),4," Aug 31, 2020","
Exterior is realistic looks beautifulInterior quality is also good seating capacity in excellent for 5 peoplePerformance matters alot and in this category this car gives me really good performance, it's pick of acceleration is very good and it has also a good height. It gives good mileage if we maintain the engine of the car or if we not then we have face some issues with the carburetor 
",5,4,3,4,4
288,2014 Suzuki Cultus EURO II,3," Aug 25, 2020","

I bought Suzuki Cultus zero meter in 2014 and till today I have driven it almost 83000 km. I have taken this car to Naran, Murree, Azad Kashmir (Neelum Valley) many times with 5 persons and luggage on board. This car provided excellent performance on hilly areas with full 5 persons on board along with luggage. Last month I travelled to Karachi by road with 4 persons in car and with continuos driving on motoray we reached karachi in 15 hours. That was also excellent experience. Despite of completing 82000 KM in odo, its performance was extra ordinary and it was going on 130km/hr easily on motorway but little struggling to reach 140km/hr speed.The features I am missing in this car is power windows, power steering, ABS breaks and central locking.  Till now now I have changed rear suspensions of the car and all is genuine.i would recommend this car for small family. good and city and highway driving.
 

                More
                
 
                Less
                
 
",3,3,4,4,3
289,2011 Suzuki Alto VXR (CNG),3," Aug 24, 2020","

The Exterior of the car is tempting and cute. I  owned a 2011 model which was the second facelift and the car didn't disappoint in the looks department.The Interior of the car wasn't the best (material quality wise)  having hard plastic used throughout including the dashboard, door cards , console  and  everywhere possible. Engine wise the car was strong and had factory installed CNG which worked absolutely fine. The car used to run AC even on CNG and surprisingly worked awesome! What wasn't awesome was its fuel economy on Petrol. The engine of Alto VXR is known to have derived from Suzuki Potohar  therefore, has great pickup and torque though returns poor fuel economy. Belonging from a budget  category, the  car merely returned 10-12 km/l  with AC and a little over without. Long travels didn't make a significant difference either. The Ride Quality was great though thanks to Yokohama original low  profile tyres, the car glided and had great road grip. 
 

                More
                
 
                Less
                
 
",4,3,3,5,4
290,2020 Suzuki Alto VXL AGS,5," Aug 16, 2020","
Suzuki should improve Body Quality.Interior is nice with two tone colur and Full of features.Fuel Mileage is very exellent as compare to other cars.Handling is too good and smooth.I think Alto is best as compare to other 660cc cars and people should buy alto rather than other 660cc cars.
",5,5,5,5,5
291,2017 Suzuki Wagon R VXL,3," Aug 06, 2020","
i have wagon r vxl 2017 model everything else is ok but iam not getting good fuel average it's 13 on long with a/c at the constant speed of 80 and 2.5 rpm and just 47000 droven i have recently replaced genuine air filter but not getting good response
",3,3,2,4,5
292,2017 Suzuki Wagon R VXL,4," Aug 02, 2020","
Best car for people who have good height. the exterior of the car is really beautiful and the interior is also very good but at the back seat it has less space for sitting, cultus 1st generation was having more space for seating. my car has been driven for 70,000 km and the fuel economy is really good and engine is giving really good performance and a.c is also working good. 
",4,4,5,5,4
293,2017 Suzuki Mehran VXR Euro II,3," Jul 27, 2020","
It's the first car of most of the people.A good car for those who want to learn the basics of a car.Spare parts are cheap & easily available.Resale value is unbelieveable.Only negative is medium Ac enough for 1st 2 persons,not much comfortable & safety feature is a big issue.Otherwise boss for a reason.
",3,2,3,4,5
294,2018 Suzuki Wagon R,3," Jul 25, 2020","
Its a long drive vehicle I preferred to go with cultus because the price of WagonR is also very high and feels not good on local roads, gives noise while passing through any small breaker. I totally rated this vehicle 7/10 and cultus 9/10. Fuel average is 14.5 with ac in local and motorway 17+Ac is very good like big cars Acon motorway its pick is good 
",3,3,4,3,4
295,2015 Suzuki Mehran VX Euro II,2," Jul 24, 2020","
My Mehran gives me about 13 - 15 kilometres per litre. It is a fun car to drive, especially for boys. One can take this car to any part of Pakistan. Engine performance is very good but poor exterior and interior build quality. Exterior is too cheap. Suzuki Mehran came with multiple factory faults like engine and gear oil leakage, and low life suspension. Genuine parts of the car including checkups that is provided by the Pak Suzuki are too expensive, considering one of the cheapest available car. The car could have been a lot better. 
",2,1,3,4,2
296,2019 Suzuki Cultus VXL,4," Jul 21, 2020","

18.5km/l with AC  on shortand 22km/l on longThe best car you can get on the market with this price rangeParts are cheap and ground clearance is excellent The sound is the best when you start up the car                                                     
 

                More
                
 
                Less
                
 
",4,4,5,5,5
297,2019 Suzuki Cultus VXL,3," Jul 12, 2020","

 My car is in red pearl (Maroon) Colour.PositivesAC performance is awesome  in hot weather of Lahore even at 2pm when temperature touches 44CExterior is good and a pretty decent looking carGood for a small familyPower steering n windows. Dual Airbags , ABS is good Fuel avg. is good with AC 15-16 within city  without Ac 16-17Fuel avg. on M2 with Ac 20-21@100-110kmph , 18@120kmph, 15@140kmphRoad clearance is good.Negatives .....No retractable side mirrors  .No armrest .No  multimedia controls on steering.Cheep door plasticAnnoying engine sound at speed of 20kmph at 2nd gearCheep quality of company fitted tires of this high price carParts are very expensive . Big front pillars  are  Blind spots  while turning..Back fenders are sealed  they can’t repair without opening the body seal. No option to repair  from trunk compartment. No temperature guage 
 

                More
                
 
                Less
                
 
",3,3,4,4,4
298,2015 Suzuki Alto VP,5," Jul 09, 2020","
Exterior  is very good and stylish .This car is valuable for city  and village.Its interior is little bit stylish over all this is very good and under budget.This car have good suspension ,it's average of fuel is also very good it .You can also take my owner review on this car . Over this is a good car i love it.
",5,5,5,5,5
299,2019 Suzuki Alto VXR,3," Jul 07, 2020","
Its my first ever car in my lifeExterior is bad looking, even the old Alto looks beautiful than this new AltoInterior is average, other people who have used other Suzuki cars say that this new Alto's interior and plastic quality is far better than other Suzuki productsAC performance is BEST, very coolIn this price range, one should buy a used Toyota or Honda car  instead of this car
",2,4,5,4,2
300,2015 Suzuki Swift DLX Automatic 1.3,3," Jul 05, 2020","
Exterior interior is cool, best in pakistan hatchbacks, pick is awesome, fuel economy poor, steering not so good as compare to city, suspension good but hard as compare to gli, headlights ac perfect, auto gear mirror quality fine, leg room beter in hatch backs, value for money in paki hatchbacks, however btr to buy honda city
",4,4,2,4,4
301,2020 Suzuki Alto VXL AGS,5," Jul 05, 2020","
Excellent fuel mileage, comfortable. chill ac. auto manual both transmission is good option for northern areas. good for a small family, but Suzuki should must bring down the prices of hatchback cars & make these cars accessible to middle class community of Pakistan
",5,5,5,5,5
302,2011 Suzuki Alto VXR (CNG),4," Jun 25, 2020","
As good as a big car like any sedan, Ac Performance is good specialy in hot wether there is no heating or loading on engine. Front Lights are very gud. Dashboard and door inners are made from good plastic quality and give good shine aftr using polish.  On highway little bit engine sound issue otherwise silent on speed under 80km / h. If we compare it with mehran than there is no match of both cars. Alto is best for small faimly and enough trunk space after removing CNG cylender.
",5,5,4,5,5
303,2012 Suzuki Cultus VXRi (CNG),4," Jun 25, 2020","
Exterior wise car is perfectly fine!Interior is also in perfect condition!Its fuel economy is fine like 16-17 in city with AC and 18-19 on Long with AC!Its Ride is full of comfort and joy!I recommend this car to all salary holders because it is value for money and does not have any fault and in this price bracket it gives you and your family a comfortable life style! 
",4,4,5,4,5
304,2015 Suzuki Alto Lapin 10th Anniversary Limited,4," Jun 21, 2020","
exterior is too much good and cutest lookinterior is dashing built quality is better then other 660 cc cars , luggage capacity is also good , seats are comfortable and good gap between rear and front passenger seats.handling is Great and when someone drives.  passenger doesn't felt he drives a small caroverall a very good car with economical fuel average of 25km/liter in city and 27kms/liter on highway drive
",5,4,5,4,3
305,2015 Suzuki Alto TURBO RS,4," Jun 19, 2020","
it is a 660cc turbo charged car with sporty look and sporty suspension including alot of features in such an affordable price, it is called one of the fastest 660cc car, it includes auto climate control, traction control, brake assist, eco idling stop, auto windshield wipers, auto headlights, auto adjustment in headlights, push start button and heated seats also.
",5,3,5,5,5
306,2006 Suzuki Liana RXi (CNG),4," Jun 18, 2020","
Liana 2006 model RXi (CNG). no airbags Power stearing and windows Within city 11-12 Long 13-14 1.3 engine Good car with respect to price .Yeah there are some known faults in it and it's not as good as Toyota to maintain but the comfort is almost the same
",4,4,4,4,5
307,2014 Suzuki MR Wagon X IDLING STOP,4," May 28, 2020","
Wonderful  performance, comfortable, low fuel consumption, nice interior, more cabin height , enough cabin space for luggage, powerful air conditioner, bombastic sound system, awesome exterior,reliable brake system, more ground clearance,bigger fuel tank.
",5,5,4,4,5
308,2010 Suzuki Cultus VXRi (CNG),3," May 27, 2020","
ComfortableA little sluggish due to bigger bodyGreat Family carInterior is okAc is very good for a 1000cc carSeats are soft and goodSuspension is a little stiffNot Very good ground clearanceBut comfortable due to bigger tires and low ride height
",3,4,4,3,3
309,2018 Suzuki Cultus VXR,4," May 26, 2020","
cheap paint quality,ac is decent,throw is good,cool car,shape wise 9/10 ,paint wise 6/10,power 8.5/10.no enough features__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________At the end its a good decent and fuel effecient carn.THANKKS!
",5,4,5,3,5
310,2020 Suzuki Alto VX,3," May 12, 2020","

In terms of safety, the hatchback is going to meet the new security and crash test norms. It will come equipped with airbags in the front, seat belt reminder, rear parking sensors, speed alert, and ISOFIX child seat anchors. Talking about how new model of Alto is going to appear like, as seen in images, it’s entirely changed. The overall appearance of the hatchback seems pretty impressive. It has received some modern design with different color schemes along with the highlighted stripes. The top-spec variant of the Next-Gen Maruti Alto 800 will feature the touchscreen infotainment system with Apple car play and android auto connectivity feature. 
 

                More
                
 
                Less
                
 
",3,2,4,4,4
311,2012 Suzuki Alto VXR,4," Apr 30, 2020","
very nice car paint quality is excellentac performance is excellentpic is very fast suspention is like sedan carsfuel average is good not excelent bcz it has suzuki potohar engineengine performace is really goodvery powerful enginebetyer than new Suzuki alto and other japenes cars
",5,5,4,5,5
312,2019 Suzuki Cultus VXR,4," Apr 25, 2020","
i have cultus 2019 vxr. THE paint quality is very cheap.paint is pealing off from door corners i have drove it 15000 km .rear wheal is also making.noise.built quality is very cheap.door panals are making noise head light clip also broken with a minor force
",4,4,5,5,4
313,2015 Suzuki Alto L,4," Apr 25, 2020","
A great Family Car ,with great Fuel Average. The JDM varient gives me about 20km/L without A/C in city. Although it's not that comfortable as it should be. It gives a great Performance if you compare it to a 658cc. You don't get the feel of a 658cc car.
",4,4,5,5,4
314,2009 Suzuki Cultus VXRi,4," Apr 20, 2020","
The car is bigger in size than Alto Cuore and Mehran and also the fuel economy i think in better than All those... If you talk about comfort the comfort level is also better than the above three... Leg room and head room is also fine... AC performance in a hot day like 38°C i've experienced it takes time but if you put it on full speed it will be ok... Have a couple of cup holder must be atleast 4-5 Although the performance with AC Fuel Avg and pick is fine 
",4,4,5,5,5
315,2019 Suzuki Cultus VXR,3," Apr 18, 2020","

I am the owner of the Cultus VXR 2019, and here's my review on this carProblems: Okay, now the problem I faced is the poor built quality of this car. When I bought this car in Feb 2019(zero meter) it feels very solid. But as the time passes(about a couple of month) the various parts of the car start making noises. Firstly the hood of the car was not properly fit and it starts making noise, then when I drove my car to about 5,000 km the rear driver's wheel starts making noise and now I have drove my car to about 25,000km and I am facing the exactly same problem, the dealership also don't know how to solve this problem. Also glove box is not properly fit.One of the passenger door also has noise issue. I am not satisfied with the built quality of this car.plus point: Perfomance is quite good. Engine runs smoothly. Faced no issue about its engine oil or other lubricants.    
 

                More
                
 
                Less
                
 
",4,3,4,5,3
316,2019 Suzuki Mehran VXR Euro II,3," Apr 17, 2020","

I am using this car from past 40 days .. i purchase it in 2019 but as i was not in town so i couldn't drive .. but i would like to tell you when i was buying a car there are so many options for used card my budget was 1.2 millions .  Like used carrolla jdm even suzuki alto 2019 model 660cc..but i bought new suzuki mehran 2019 because my usage is alot ... I drive my car in 40 days 12k kms .. i just wanted to share with you guys people are saying its teen daba its really not.. engine performance is really amazing . When i bought i heard ac doesn't work good no cooling but i am enjoying. Thats enough for you even for long drive you dont feel sweat.. i drive continues 1000km in 24hrs non stop or only stop for petrol or refurbishment..i never had any issue i totally drive on ac i drive from karachi to Islamabad and then lahore i never face any single issue . Petrol average i am getting with ac is15/ 16kms with out 18 /19 only changed oil filter rest is stock
 

                More
                
 
                Less
                
 
",2,3,4,5,5
317,2011 Suzuki Swift DLX 1.3,3," Apr 10, 2020","
Own Swift DLX. Its way much more comfortable then other Suzuki models, with good Sensors and Suspension. its AC is good,  body is solid and giving averge 13.5. well wasn't a bad choice in 1.2 million. but need the company to bring the spares availability and prices on the better end.also dont know why its 1328 cc on books while Honda city is 1299 cc
",4,4,3,4,3
318,2007 Suzuki Swift,3," Apr 06, 2020","
exterior is pretty beautiful.....interior is very different from pakiatani version...some specs are:1. It has auto climate control..2. retractable mirrors .3.seat  adjustment ....Talking about its comfort so its very comfortable and friendly to drive ....about my last words i wanna say its an amazing car for family and has great power ...
",3,4,2,4,3
319,2014 Suzuki Swift DX 1.3,4," Mar 18, 2020","
Exterior:As I am driving the car in most rushy areas of  Lahore, there are slight touch ups in exterior  but overall paint is shinny and genuine.Interior:The Interior of Swift is well finished and comfortable, and I have no complaints, I installed a 7-inch screen in my carFuel Economy:If you maintain your car well and change engine oil on time and add good quality engine oil, due to that reason I am getting 14 KM/liter in city with AC and 15 to 16 KM/liter on highway 
",3,4,5,5,5
320,2015 Suzuki Swift DLX 1.3,4," Mar 11, 2020","
exterior of this car is very nice and very gorgeous shape air cutting shape.interior of this car is good but steering is not of good quality meter is much better than Toyota Corolla 2013.fuel average of this car is not good it gives 9 to 10 average on 1 litre it is not good because i also owned honda city 2014 aspire 1.5 its average is 10.5 in city with a.c.good car but expensive.
",5,4,2,5,4
321,2019 Suzuki Wagon R VXL,4," Mar 04, 2020","
I am really enjoying my Suzuki Wagon r VXL model 2019. An excellent pick  when needed on Pakistani roads style traffic.comfort driving and economical in petrol usage not only on highways/motorways and  inside as well.one  weak point when in bit high speed on motorways , it takes pressure  and waved when any heavy traffic passes by or when  any hurricane is there ,  then it is not driving friendly
",4,4,5,5,5
322,1999 Suzuki Khyber Limited Edition,4," Mar 04, 2020","
I have suzuki khyber and i am using it for about 5 years and Alhamdulillah i'm 100% satisfied about my car it has no issues! Maintainable prices are totally reasonable! As i have 1999 model the last model and it costs about 4.5 lacks because the condition of my car is totally genuine and it's very much less driven plus it's condition tells about its value for money! 
",5,5,4,5,4
323,1993 Suzuki Khyber GA,4," Feb 20, 2020","
Exterior & interior design is soooooooooo good... This is my favourite car...Its fuel economy is so much batter than new cars...If you buy this cars... The next time you will be a great fan of this khyber........................................................Exterior & interior design is soooooooooo good... This is my favourite car...Its fuel economy is so much batter than new cars...If you buy this cars... The next time you will be a great fan of this khyber........................................................ 
",5,3,4,4,5
324,2017 Suzuki Ciaz Automatic,4," Feb 19, 2020","

Exterior Design is fine but there are other Sedans which are better in design . Interior of the car is  Spacious and decent and comfortable. Specially its leg room fro rear passengers is quite relaxed and its seats are designed i n a way that is very comfortable.  However you need to fix Android screen for this car.  It has Dual SRS airbags and ABS brakes which makes its driving safe and comfortable.I drove this car from Karachi to Bhurban on family trip. After driving 1500 kms i was not tired at all.Performance wise this car pickup is quite responsive and  gives good shoot even from 120 km speed. Fuel Efficiency is at its best...this is the best thing i loved this car about.  My driving route is a mix of city and highway and i am getting 17.5 km per litre mileage by driving vehicle on 2000 to 2500 RPM with 80 to 100 km/h speed.Its imported CBU from Thailand which tells its manufacturing quality better than local sedans.  
 

                More
                
 
                Less
                
 
",4,5,5,5,5
325,2020 Suzuki Carry Standard,5," Feb 19, 2020","

Exterior is good up to some extent .. Interior is normal. Very good in fuel consumption . Handling etc in normal . Finally would like to say that those who looking for low fuel consumption then go for it                                                               .                                                                                                                                                                                                            .                                                                                                                                                                              
 

                More
                
 
                Less
                
 
",5,5,5,5,5
326,2019 Suzuki Alto VXR,4," Feb 16, 2020","
After modification would be recommended to give this car an appealling. Overall car is excellent. Althought doesn't justify its prize. Excellent leg space for people like me with height 6 feet or plus. Not recommended for a family with people more then 4. It's suspension got stiff when 3 people accommodated on the back seat. Fuel efficiency is excellent. I drove it on motorway with avg speed of 95 it gave me around 25.7 avg.
",4,5,5,4,3
327,2020 Suzuki Alto VXL AGS,4," Feb 16, 2020","
Good pickup better than JDM models available in market surprisingly comfortable seats as Suzuki not known for this feature, leg space also very good on back side overall good experience so far there are some issue as well like you will hear sounds from outside and sometime feel jerk in reverse mode but i would recommend for go and test drive before you make a decision .   
",4,4,5,4,4
328,2018 Suzuki Wagon R VXL,4," Jan 28, 2020","
This is my second wagon r, I would definitely recommend this vehicle in this price bracket these days.I had passo 16 model ND alto 2015 jdm vehicle. Wagon r is far better in drive, pick comfort ND durability from these It gives me 16-17 km/l in city.Exterior is average as all of Suzuki pkdm lacks with quality of paint. 
",3,4,5,5,3
329,2005 Suzuki Alto,4," Jan 21, 2020","
Suzuki Maruti Alto Gl that is powered by a 1 liter petrol 16 valve efi engine which produces around 63bhp stock. This Alto Gl has dual SRS airbags.  This Alto Gl has ABS brakes.This Alto Gl has EPS, Front Power Windows, and a rear wiper with shower.                                                                           
",4,4,5,5,5
330,2018 Suzuki Cultus VXR,3," Jan 17, 2020","

I am talking about cultus VXR,  It all depends on you choice and taste, I think cultus exterior is very good , its good looking and stylish. Interior is also excellent, they have place gear at a very nice position. Fuel economy is super excellent. I have driven this car all the way to  Karachi  in summers with AC on and had no issues. Looking forward to check Cultus AGS. Few minor issues are like VXR doesn't  have plug charger and there are no handles in window seats. If some one wants to hang a coat what will he do ??? cost cutting in such minor things doesn't make any sense. Over all rating for cultus is good but prices are too high. 
 

                More
                
 
                Less
                
 
",3,3,5,4,4
331,2003 Suzuki Alto,4," Jan 16, 2020","
stylish look with good rates  averaging around 17km without ac and with ac almost 11km best ecnomical car i will give rating 10/10 because of argonmics of seat comfort look style and class plus design with best rates of spare parts when ever any part broke it is availble in near by mechanic shops at cheaper price
",5,3,5,5,5
332,2019 Suzuki Alto VXL AGS,4," Jan 09, 2020","
Exterior of Car is good and interior better than exterior fuel average is excellent I have driven 2300 so far going very impressive AC is ok not so perfect AGS is working perfectly some time 1st gear drags a lot pick is very good the only bad thing is Engine sound which is really annoying, company should take notice of it
",5,5,4,5,3
333,2019 Suzuki Alto VXL AGS,4," Jan 08, 2020","
its very good car but now its very expensive and its features is very good airbags ABS power windows power sterring power mirrors auto gear system and ,.............................................................................................................very efficient...................................
",4,4,5,4,5
334,2019 Suzuki Alto VXR,2," Jan 06, 2020","
Interior is worst, in the top line product Suzuki worked its hard to make it primitive. It is even not compatible to 2007 small imported cars as far as specks are concerned.Prmitive infotainment system. No light adjustment, no steering cobtroles. Just AGS mehran if yiu talk abiut the facilities.. 
",3,1,4,2,1
335,2005 Suzuki Baleno JXR,4," Jan 06, 2020","
I Have Suzuki Baleno 2005, I have Bought It 2 years Ago And I Am Very Satisfied With It Although It’s Parts Are Lil Bit Expensive But Believe Me It’s Engine Performance And It’s Engine Power Will Shock You...I Always Love It When I Ride It. It’s The Best Car I Have Ever had??
",4,5,4,5,5
336,2019 Suzuki Alto VXR,4," Jan 06, 2020","
The exterior's design is better means not so good and not so bad.i have driven it 2230 km.paint quality is better but i think that there is chance of improvement.interior quality is good.leg room and head room is best.i think dual airbag is best safety feature.
",4,5,5,5,4
337,2019 Suzuki Alto VXL AGS,3," Dec 12, 2019","

It's very spacious compared to the Cultus and Swift. 4 XL sized men can sit in it comfortably. The automatic gear system performs poorly in hilly conditions, so manual shift is recommended. The engine sound in the lower gears is very irritating, and sounds like a muffled two stroke motorcycle, but this sound disappears when you reach cruising speed. I enjoy driving it in manual mode. Vroom vroom.  But Don't expect it to perform like a normal automatic car. Pickup is good. Steering is smooth as butter. The car has an immobilizer against theft. It has no spare wheel, and has a puncture repair kit and a compressor. I cannot comment on the practibility of this system until I get a puncture.  I wish they could improve the engine sound, because it is a major drawback for this otherwise good car.
 

                More
                
 
                Less
                
 
",3,4,4,3,2
338,2018 Suzuki Swift DLX Automatic 1.3 Navigation,2," Dec 12, 2019","
I have 2018 model. By ride and drive its good car. However few manufacturing faults, which may be doubted during resale... Its front bonut is tilted a side. On purchase rear camera was upside down. Rear camera quality its extra oridnary low.. Navigation system is very poor. Never helped during driving. Doors very hard ti close. Despite central locking, not auto lock rather manual locking. 
",3,4,1,3,2
339,2017 Suzuki Vitara GL+ 1.6,3," Dec 10, 2019","

1) The size of the vehicle is optimal for anyone who is used to driving sedans like corolla2) The engine is a 1600cc and provides the fantastic fuel economy while retaining all  functions of a SUV3) Vitara is not made in Pakistan its the only European car that is imported in Pakistan and has a full 3s dealership service support4) 6 Air bags.... OH YES.... not even the most expensive local produced cars have that many air bags5)  Low maintenance cost and why is that because its a Suzuki with a 1600cc engine  and is as cheap as maintaining an GLI or 1.6 corolla.Whats bad about it....Well  its a SUZUKI and if  you are a person who are fine with the quality of produce instead of its emblem then its the best buy at the given price range.Parts are expensive because its a European import Resale is going to be slow as the car attracts limited users  
 

                More
                
 
                Less
                
 
",4,4,3,3,5
340,2017 Suzuki APV GLX,5," Dec 07, 2019","
I wana sale my apv just like brand new 2017... I love this van the powerful engine the dual ac I love it..white colour 23k driven seeing is believing... Van is total genuine not a nut have been changed ever a piece for apv lover... For big family there is no such thing as apv
",5,5,5,5,5
341,2017 Suzuki Vitara GL+ 1.6,4," Dec 07, 2019","
The exterior of the car is very beautiful and spacious it looks like a range rover evoque the cars interior design is very roomy and comfortable the car has a 1.6 liter engine and is a awd car the stairing wheel has cruise control paddle shifters the car gives Good fuel economy in city and on Highway 
",5,4,5,5,5
342,2005 Suzuki Liana Eminent,5," Dec 04, 2019","

Suzuki liana rxi is my first car before it i never ever drive any car and not have so much knowledge about car. But  when i start looking for car my budget 4.5 lahk to 5lahk . I  have choice for mehran alto coure santro but  by chance i saw suzuki liana for sale in 550000  then i decided i buy this car ... Peoples and friends stop me to buying this car but i have  dream to big car ... so after looking 3 to 4 cars i got suzuki liana rxi 1.3 cc in 5 lahk ...... after driving this car  2 to 3 months  me and my friends and family inspired too from this car  power steering smooth gear shifting great ac performance ... good fuel average and good drive quality .. After driving this car i  also drive mehran santro cultus xli honda city too i feel suzuki liana is great car in this bugdet .. .. if you have budget of 6.5 to 7.5 lahk try to eminent  1.6 auto or manual in good condition ... because eminent version is more powerfull and  when u switch on ac there s not any load on engine  Fin
 

                More
                
 
                Less
                
 
",5,5,5,5,5
343,2019 Suzuki Ciaz Automatic,4," Dec 04, 2019","
The exterior of car is beautiful. Unfortunately company is not providing fog lights, rear brake lamps and alloy rims but if you add them through aftermarket it will increase look of the car. Interior of Ciaz is better than City and Corrolla GLI. Again we need to get LCD from aftermarket. Drive and fuel average is great too. Road grip is amazing. Only negative point is steering turning ratio, it is very less. 
",5,5,4,4,4
344,2019 Suzuki Alto VXL AGS,3," Dec 04, 2019","

After a thorough discussion, reviews and test drive finally we bought Pak made alto for local commutation. Not driven much but giving excellent average of 20plus as winters and AC isn't used.Pros:Excellent fuel average, comfortable seats, build quality and plastics are better considering its Suzuki, braking is good, suspension much better than expected, AGS is nice option with manual.  Cons :Engine noise in cabin in too much, non availability of fog lamps and even no provsion in bumpers to install, price should be in 12 to 1 2.5 range. Final verdict, its a very practical car in given options, with 3 years warranty, dealership and peace of mind that the ride is actually new. 
 

                More
                
 
                Less
                
 
",3,4,5,3,4
345,2019 Suzuki Cultus Auto Gear Shift,4," Nov 30, 2019","
One of the most stylish exterior of car. So much comfortable than Alto, Wagnor etc. Having good performance and optimal pick up in Ags variant. A little bit small performance in Mileage because of Ags variant. Ags technology is so good in terms of We can gain Automatic transmission as well as manual gear shift. Overall the car is one of the best cars in Pakistan. 
",5,4,3,5,5
